 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=*Finder allerede bræk-spanden frem* lol, jeg skulle ikke snakke:
1-1	*Finder	B-verb.act	
68-26	.	O	

#id=69
#text=Har egentlig ikke nogen specielt yndlingsskuespillere?
69-1	Har	O	
69-2	egentlig	O	
69-3	ikke	O	
69-4	nogen	O	
69-5	specielt	O	
69-6	yndlingsskuespillere	O	
69-7	?	O	

#id=70
#text=lol, South-Park..
70-1	lol	O	
70-2	,	O	
70-3	South	O	
70-4	-	O	
70-5	Park	O	
70-6	.	O	
70-7	.	O	

#id=71
#text=Vil jeg mene, men ret mig endenlig :)
71-1	Vil	O	
71-2	jeg	O	
71-3	mene	O	
71-4	,	O	
71-5	men	O	
71-6	ret	O	
71-7	mig	O	
71-8	endenlig	O	
71-9	:	O	
71-10	)	O	

#id=72
#text=Hmm, tror det fine selskab kun findes i dit hoved :)
72-1	Hmm	O	
72-2	,	O	
72-3	tror	O	
72-4	det	O	
72-5	fine	O	
72-6	selskab	O	
72-7	kun	O	
72-8	findes	O	
72-9	i	O	
72-10	dit	O	
72-11	hoved	O	
72-12	:	O	
72-13	)	O	

#id=73
#text=Du må vel selvom at du ikke kan se meningen i at jonglere osv..
73-1	Du	O	
73-2	må	O	
73-3	vel	O	
73-4	selvom	O	
73-5	at	O	
73-6	du	O	
73-7	ikke	O	
73-8	kan	O	
73-9	se	O	
73-10	meningen	O	
73-11	i	O	
73-12	at	O	
73-13	jonglere	O	
73-14	osv	O	
73-15	.	O	
73-16	.	O	

#id=74
#text=Men jeg ville gerne have datalogi... men der var ikke plads i  mit skema.
74-1	Men	O	
74-2	jeg	O	
74-3	ville	O	
74-4	gerne	O	
74-5	have	O	
74-6	datalogi	O	
74-7	.	O	
74-8	.	O	
74-9	.	O	
74-10	men	O	
74-11	der	O	
74-12	var	O	
74-13	ikke	O	
74-14	plads	O	
74-15	i	O	
74-16	mit	O	
74-17	skema	O	
74-18	.	O	

#id=75
#text=Ogbare du ikke begynder at læse i vores history og hive noget frem og lægge det herind.. det vil for alvor være pinligt lol..
75-1	Og	O	
75-2	bare	O	
75-3	du	O	
75-4	ikke	O	
75-5	begynder	O	
75-6	at	O	
75-7	læse	O	
75-8	i	O	
75-9	vores	O	
75-10	history	O	
75-11	og	O	
75-12	hive	O	
75-13	noget	O	
75-14	frem	O	
75-15	og	O	
75-16	lægge	O	
75-17	det	O	
75-18	herind	O	
75-19	.	O	
75-20	.	O	
75-21	det	O	
75-22	vil	O	
75-23	for	O	
75-24	alvor	O	
75-25	være	O	
75-26	pinligt	O	
75-27	lol	O	
75-28	.	O	
75-29	.	O	

#id=76
#text=Så er det skuda' hende fra All Saints!?
76-1	Så	O	
76-2	er	O	
76-3	det	O	
76-4	skuda	O	
76-5	'	O	
76-6	hende	O	
76-7	fra	O	
76-8	All	O	
76-9	Saints	O	
76-10	!	O	
76-11	?	O	

#id=77
#text=Lige fra de små konfi-tøser der har hørt Rocket Brothers, og til dem som kun gad høre de to første albums (som mig)..
77-1	Lige	O	
77-2	fra	O	
77-3	de	O	
77-4	små	O	
77-5	konfi	O	
77-6	-	O	
77-7	tøser	O	
77-8	der	O	
77-9	har	O	
77-10	hørt	O	
77-11	Rocket	O	
77-12	Brothers	O	
77-13	,	O	
77-14	og	O	
77-15	til	O	
77-16	dem	O	
77-17	som	O	
77-18	kun	O	
77-19	gad	O	
77-20	høre	O	
77-21	de	O	
77-22	to	O	
77-23	første	O	
77-24	albums	O	
77-25	(	O	
77-26	som	O	
77-27	mig	O	
77-28	)	O	
77-29	.	O	
77-30	.	O	

#id=78
#text=LOL HØRT!
78-1	LOL	O	
78-2	HØRT	O	
78-3	!	O	

#id=79
#text=Hvaddrikker i af sodavand, hvis i gør?
79-1	Hvad	O	
79-2	drikker	O	
79-3	i	O	
79-4	af	O	
79-5	sodavand	O	
79-6	,	O	
79-7	hvis	O	
79-8	i	O	
79-9	gør	O	
79-10	?	O	

#id=80
#text=HAHAHAHAHAHAHA.size=9:e1169b002c)Det sagde jeg mest fordi jeg gerne vil væk fra det ustabile stadie./size:e1169b002c)
80-1	HAHAHAHAHAHAHA	O	
80-2	.	O	
80-3	size=9	O	
80-4	:	O	
80-5	e1169b002c	O	
80-6	)	O	
80-7	Det	O	
80-8	sagde	O	
80-9	jeg	O	
80-10	mest	O	
80-11	fordi	O	
80-12	jeg	O	
80-13	gerne	O	
80-14	vil	O	
80-15	væk	O	
80-16	fra	O	
80-17	det	O	
80-18	ustabile	O	
80-19	stadie	O	
80-20	.	O	
80-21	/	O	
80-22	size	O	
80-23	:	O	
80-24	e1169b002c	O	
80-25	)	O	

#id=81
#text=Jeg bruger bare den undskyldning med at "kreative mennesker trives i rod"
81-1	Jeg	O	
81-2	bruger	O	
81-3	bare	O	
81-4	den	O	
81-5	undskyldning	O	
81-6	med	O	
81-7	at	O	
81-8	"	O	
81-9	kreative	O	
81-10	mennesker	O	
81-11	trives	O	
81-12	i	O	
81-13	rod	O	
81-14	"	O	

#id=82
#text=Butthe drugs don't work, they just make you worse.. arrrrgh! *Slår sig selv 3 gange i hovedet med en gryde*
82-1	But	O	
82-2	the	O	
82-3	drugs	O	
82-4	don	O	
82-5	'	O	
82-6	t	O	
82-7	work	O	
82-8	,	O	
82-9	they	O	
82-10	just	O	
82-11	make	O	
82-12	you	O	
82-13	worse	O	
82-14	.	O	
82-15	.	O	
82-16	arrrrgh	O	
82-17	!	O	
82-18	*Slår	O	
82-19	sig	O	
82-20	selv	O	
82-21	3	O	
82-22	gange	O	
82-23	i	O	
82-24	hovedet	O	
82-25	med	O	
82-26	en	O	
82-27	gryde*	O	

#id=83
#text=Very true ;P
83-1	Very	O	
83-2	true	O	
83-3	;	O	
83-4	P	O	

#id=84
#text=HELTENIG, Sarah! ;) at sidde i fængsel på livstid er langt værre end at blive dømt til døden!
84-1	HELT	O	
84-2	ENIG	O	
84-3	,	O	
84-4	Sarah	O	
84-5	!	O	
84-6	;	O	
84-7	)	O	
84-8	at	O	
84-9	sidde	O	
84-10	i	O	
84-11	fængsel	O	
84-12	på	O	
84-13	livstid	O	
84-14	er	O	
84-15	langt	O	
84-16	værre	O	
84-17	end	O	
84-18	at	O	
84-19	blive	O	
84-20	dømt	O	
84-21	til	O	
84-22	døden	O	
84-23	!	O	

#id=85
#text=Ohyeah, du ved han vil.
85-1	Ohyeah	O	
85-2	,	O	
85-3	du	O	
85-4	ved	O	
85-5	han	O	
85-6	vil	O	
85-7	.	O	

#id=86
#text=Læx..hmm..hvad mere?
86-1	Læx	O	
86-2	.	O	
86-3	.	O	
86-4	hmm	O	
86-5	.	O	
86-6	.	O	
86-7	hvad	O	
86-8	mere	O	
86-9	?	O	

#id=87
#text=Fantastisk sanger, med fantastiske sange med geniale tekster :)
87-1	Fantastisk	O	
87-2	sanger	O	
87-3	,	O	
87-4	med	O	
87-5	fantastiske	O	
87-6	sange	O	
87-7	med	O	
87-8	geniale	O	
87-9	tekster	O	
87-10	:	O	
87-11	)	O	

#id=88
#text=Min veninde har vist lige købt den... :)
88-1	Min	O	
88-2	veninde	O	
88-3	har	O	
88-4	vist	O	
88-5	lige	O	
88-6	købt	O	
88-7	den	O	
88-8	.	O	
88-9	.	O	
88-10	.	O	
88-11	:	O	
88-12	)	O	

#id=89
#text=Den amerikanske regering har jo lidt problemer (eller mange) for tiden, men befolkningen er vel overordnet set ok.
89-1	Den	O	
89-2	amerikanske	O	
89-3	regering	O	
89-4	har	O	
89-5	jo	O	
89-6	lidt	O	
89-7	problemer	O	
89-8	(	O	
89-9	eller	O	
89-10	mange	O	
89-11	)	O	
89-12	for	O	
89-13	tiden	O	
89-14	,	O	
89-15	men	O	
89-16	befolkningen	O	
89-17	er	O	
89-18	vel	O	
89-19	overordnet	O	
89-20	set	O	
89-21	ok	O	
89-22	.	O	

#id=90
#text=Harhørt navnet før, men kan slet ikke forbinde det med  noget.. :?
90-1	Har	O	
90-2	hørt	O	
90-3	navnet	O	
90-4	før	O	
90-5	,	O	
90-6	men	O	
90-7	kan	O	
90-8	slet	O	
90-9	ikke	O	
90-10	forbinde	O	
90-11	det	O	
90-12	med	O	
90-13	noget	O	
90-14	.	O	
90-15	.	O	
90-16	:	O	
90-17	?	O	

#id=91
#text=I want it!
91-1	I	O	
91-2	want	O	
91-3	it	O	
91-4	!	O	

#id=92
#text=Der er ikke vildt mange, der får gode chancer i den branche :)
92-1	Der	O	
92-2	er	O	
92-3	ikke	O	
92-4	vildt	O	
92-5	mange	O	
92-6	,	O	
92-7	der	O	
92-8	får	O	
92-9	gode	O	
92-10	chancer	O	
92-11	i	O	
92-12	den	O	
92-13	branche	O	
92-14	:	O	
92-15	)	O	

#id=93
#text=Well,spank my ass and call me charlie!
93-1	Well	O	
93-2	,	O	
93-3	spank	O	
93-4	my	O	
93-5	ass	O	
93-6	and	O	
93-7	call	O	
93-8	me	O	
93-9	charlie	O	
93-10	!	O	

#id=94
#text=René
94-1	René	O	

#id=95
#text=Jegvil have helene-hår 8) *fniz*
95-1	Jeg	O	
95-2	vil	O	
95-3	have	O	
95-4	helene	O	
95-5	-	O	
95-6	hår	O	
95-7	8	O	
95-8	)	O	
95-9	*fniz*	O	

#id=96
#text=OMG
96-1	OMG	O	

#id=97
#text=nej..den finder ikke Ad -aware 6.0 øv... det lyder ellers godt :D
97-1	nej	O	
97-2	.	O	
97-3	.	O	
97-4	den	O	
97-5	finder	O	
97-6	ikke	O	
97-7	Ad	O	
97-8	-	O	
97-9	aware	O	
97-10	6	O	
97-11	.	O	
97-12	0	O	
97-13	øv	O	
97-14	.	O	
97-15	.	O	
97-16	.	O	
97-17	det	O	
97-18	lyder	O	
97-19	ellers	O	
97-20	godt	O	
97-21	:	O	
97-22	D	O	

#id=98
#text=Ja,prøv at sætte 50 billeder op af Michael Jackson gennem årene ved siden af hinanden - Og se, hvor unaturligt han forandrer sig ;o
98-1	Ja	O	
98-2	,	O	
98-3	prøv	O	
98-4	at	O	
98-5	sætte	O	
98-6	50	O	
98-7	billeder	O	
98-8	op	O	
98-9	af	O	
98-10	Michael	O	
98-11	Jackson	O	
98-12	gennem	O	
98-13	årene	O	
98-14	ved	O	
98-15	siden	O	
98-16	af	O	
98-17	hinanden	O	
98-18	-	O	
98-19	Og	O	
98-20	se	O	
98-21	,	O	
98-22	hvor	O	
98-23	unaturligt	O	
98-24	han	O	
98-25	forandrer	O	
98-26	sig	O	
98-27	;	O	
98-28	o	O	

#id=99
#text=Den passer godt til mig (kan man sige det?) og dufter ret godt :)
99-1	Den	O	
99-2	passer	O	
99-3	godt	O	
99-4	til	O	
99-5	mig	O	
99-6	(	O	
99-7	kan	O	
99-8	man	O	
99-9	sige	O	
99-10	det	O	
99-11	?	O	
99-12	)	O	
99-13	og	O	
99-14	dufter	O	
99-15	ret	O	
99-16	godt	O	
99-17	:	O	
99-18	)	O	

#id=100
#text=Neverheard  of them either
100-1	Never	O	
100-2	heard	O	
100-3	of	O	
100-4	them	O	
100-5	either	O	

